Chromosome	Start	Stop	Strand	Gene Symbol	gene_biotype	gene_name	gene_source	TB64SL	TB65SR	TB66SL	TB64SR	TB65SL	TB66SR	TB61SL	TB61SR	TB68SL	TB68SR
7	57407672	57510060	-	Gabra5	protein_coding	Gabra5	ensembl_havana	0.138485	0.0479765	0.269137	0.0414466	0.0598058	0.319878	0.20289	0.239722	0.0531843	0.03193
11	42306437	42321073	-	Gabra6	protein_coding	Gabra6	ensembl_havana	0.152323	0.0240382	0.29903	0.0552289	0.191159	0.0229413	0.0947353	0.0533492	0.0213337	0.02132
5	71658113	72149038	+	Gabrb1	protein_coding	Gabrb1	ensembl_havana	13.4372	19.3302	13.6014	15.4913	16.9924	13.8876	18.0078	19.9153	15.7555	16.6578
11	42419757	42629029	+	Gabrb2	protein_coding	Gabrb2	ensembl_havana	2.00668	2.33408	2.70542	2.12256	3.00927	0.765284	1.90632	1.5177	1.84744	3.40591
7	57419692	57828803	+	Gabrb3	protein_coding	Gabrb3	ensembl_havana	54.1765	58.8064	50.9678	55.8859	45.6378	54.7962	50.7644	50.3732	44.7911	53.1029
4	155384980	155398113	-	Gabrd	protein_coding	Gabrd	ensembl_havana	0.608992	0.335235	0.448495	0.275744	0.358335	0.262775	0.121774	0.213097	0.753898	0.7428
X	72255999	72274804	-	Gabre	protein_coding	Gabre	ensembl_havana	2.3388	2.99238	2.1524	2.78411	3.05704	1.86167	2.21727	2.63594	2.24026	1.41123
5	70751047	70842618	-	Gabrg1	protein_coding	Gabrg1	ensembl_havana	0.249192	0.0599456	0.134618	0.344655	0.406099	0.319878	0.20289	0.106598	0.254905	0.64731
11	41910203	42000858	-	Gabrg2	protein_coding	Gabrg2	ensembl_havana	0.885761	0.754155	0.687639	1.07511	3.46303	0.365561	0.60847	0.372845	0.923767	5.65522
7	56716465	57387189	-	Gabrg3	protein_coding	Gabrg3	ensembl_havana	2.13122	1.41246	2.25702	0.730557	0.812099	0.331299	1.14924	0.372845	0.743281	3.87275
11	33550781	33578960	-	Gabrp	protein_coding	Gabrp	ensembl_havana	0.235354	0.0479765	0.328923	0.0690111	0.0836881	0.125727	0.256967	0.745589	0.329223	0.11681
X	72825178	72842603	+	Gabrq	protein_coding	Gabrq	ensembl_havana	0.913438	0.68234	1.25561	1.18537	1.64798	0.308458	0.824779	0.705652	0.456625	0.636699
4	33132521	33163589	+	Gabrr1	protein_coding	Gabrr1	ensembl_havana	0.470608	0.299328	0.493334	0.785686	1.57633	0.0686239	0.256967	0.0666615	0.403541	3.59689
4	33062999	33095866	+	Gabrr2	protein_coding	Gabrr2	ensembl_havana	0.844246	1.23292	1.30045	1.64019	2.28086	1.18785	1.97392	1.23814	1.47584	3.96824
16	59407332	59464505	+	Gabrr3	protein_coding	Gabrr3	ensembl_havana	0.304546	0.167668	0.194404	0.413566	0.847922	0.0229413	0.270487	0.0400369	0.148736	1.50672
2	70553072	70602015	+	Gad1	protein_coding	Gad1	ensembl_havana	1.05182	1.1252	1.12109	1.81935	2.99074	0.319878	0.676066	0.319595	0.966235	8.14854
10	99444044	99445820	+	Gad1-ps	processed_pseudogene	Gad1-ps	havana	0.0416154	0.0599456	0.0449395	0.179269	0.257454	0.0457826	0.148813	0.0533492	0.116886	0.47755
2	22622205	22693875	+	Gad2	protein_coding	Gad2	ensembl_havana	0.498285	0.263421	0.343869	0.330873	1.05092	0.125727	0.270487	0.159848	0.318606	2.29186
6	67035096	67037458	-	Gadd45a	protein_coding	Gadd45a	ensembl_havana	1.42546	1.19701	1.42002	1.26806	2.32863	1.42768	1.32499	1.81057	1.24227	1.63404
10	80930073	80932205	+	Gadd45b	protein_coding	Gadd45b	ensembl_havana	2.78163	1.74759	2.33175	2.06743	0.931511	1.80456	2.0956	2.78237	2.74987	1.57038
13	51846678	51848469	+	Gadd45g	protein_coding	Gadd45g	ensembl_havana	3.34901	3.35146	2.45133	3.6386	2.30474	4.3171	2.82564	2.26319	4.90509	3.06639
8	84831522	84835483	+	Gadd45gip1	protein_coding	Gadd45gip1	ensembl_havana	5.92296	6.10435	7.18937	5.70594	6.13786	5.71043	5.5971	5.20521	6.42331	6.38731
9	115909455	116076177	+	Gadl1	protein_coding	Gadl1	ensembl_havana	0.263031	0.107822	0.0001	0.261962	0.143394	0.205672	0.108255	0.359532	0.180587	0.24413
5	108569411	108629756	-	Gak	protein_coding	Gak	ensembl_havana	49.6842	46.9244	48.656	45.6516	42.0764	45.0179	46.8984	46.3477	43.6531	44.3647
19	3409915	3414545	-	Gal	protein_coding	Gal	ensembl_havana	0.0001	0.0479765	0.0449395	0.0001	0.0120412	0.0001	0.0001	0.0001	0.0107169	0.05315
11	3983636	3999327	+	Gal3st1	protein_coding	Gal3st1	ensembl_havana	0.512123	0.478865	0.866997	0.49626	0.609099	0.616815	0.649028	0.545905	0.456625	0.35023
1	93861306	93876495	+	Gal3st2	protein_coding	Gal3st2	ensembl_havana	0.0881746	0.0738052	0.0373854	0.131474	0.308197	0.115067	0.343372	0.279947	0.492411	0.224475
1	93918311	93942651	+	Gal3st2b	protein_coding	Gal3st2b	ensembl_havana	0.457246	0.631831	0.319697	0.158152	0.204053	0.444745	0.201918	0.165726	0.211156	0.302871
1	93990509	94017148	+	Gal3st2c	protein_coding	Gal3st2c	ensembl_havana	0.0776105	0.15644	0.0318265	0.0827933	0.240342	0.0001	0.130977	0.0604951	0.220401	0.045893
19	5298331	5308739	+	Gal3st3	protein_coding	Gal3st3	ensembl_havana	0.346061	0.514772	0.29903	0.206833	0.692687	0.17141	0.79774	0.559217	0.329223	0.44572
5	138264921	138272841	-	Gal3st4	protein_coding	Gal3st4	ensembl_havana	2.13148	1.85531	2.54555	2.03983	1.4089	2.12446	1.68298	1.7173	1.93278	1.6226
12	98202294	98259460	-	Galc	protein_coding	Galc	ensembl_havana	11.9012	12.1488	13.9751	13.7961	12.4308	8.64553	12.8705	11.6351	11.4026	10.4721
4	135963727	135968179	+	Gale	protein_coding	Gale	ensembl_havana	0.788892	1.36458	1.85347	1.18537	1.23004	1.01654	0.81126	0.892025	1.48646	1.33696
11	116008457	116012720	-	Galk1	protein_coding	Galk1	ensembl_havana	5.60468	5.98466	6.27763	5.71972	4.58551	6.04163	6.00268	4.37985	5.86061	5.44303
2	125859109	125984300	+	Galk2	protein_coding	Galk2	ensembl_havana	12.6899	12.2445	11.7331	13.2999	11.7383	12.9169	12.6542	12.5936	12.9952	12.4456
17	80127471	80185102	+	Galm	protein_coding	Galm	ensembl_havana	15.6791	16.709	15.7537	14.4025	12.6816	14.3901	15.2905	16.2012	12.252	12.5623
8	122578242	122611464	-	Galns	protein_coding	Galns	ensembl_havana	4.46992	6.27192	5.35094	4.96168	4.96763	4.63688	4.97521	5.53803	5.35098	4.65789
18	24205344	24286819	+	Galnt1	protein_coding	Galnt1	ensembl_havana	58.451	56.424	56.3771	59.6784	54.644	61.6048	61.1357	58.4553	59.3603	55.5647
11	57645442	57787515	+	Galnt10	protein_coding	Galnt10	ensembl_havana	60.5295	58.6248	66.7064	62.4748	44.5645	56.7036	52.8877	48.1906	48.7953	45.814
5	25221904	25265919	+	Galnt11	protein_coding	Galnt11	ensembl_havana	19.0971	24.3813	19.5352	20.701	21.8166	20.6257	19.0082	18.9568	22.561	18.7056
4	47091909	47123071	+	Galnt12	protein_coding	Galnt12	ensembl_havana	1.52233	0.897784	2.42144	2.03987	2.60327	1.34774	1.23036	1.34464	1.43338	0.880729
2	54436317	55118310	+	Galnt13	protein_coding	Galnt13	ensembl_havana	0.553638	0.610525	0.807211	0.868379	2.71074	0.148569	0.730144	0.239722	0.71143	4.76398
17	73493228	73710454	-	Galnt14	protein_coding	Galnt14	ensembl_havana	0.207677	0.107822	0.0449395	0.110358	0.0956293	0.125727	0.081216	0.0799739	0.16997	0.4245
14	32028989	32062198	+	Galnt15	protein_coding	Galnt15	ensembl_havana	10.3374	6.75068	9.7153	10.4195	6.11398	6.86393	15.1418	13.5787	9.67211	8.60478
12	80518277	80630973	+	Galnt16	protein_coding	Galnt16	ensembl_havana	3.70881	2.60937	3.67695	2.97706	2.79433	3.06084	3.59624	3.022	3.13208	3.68177
5	130872082	131308498	-	Galnt17	protein_coding	Galnt17	ensembl_havana	1.50849	1.08929	1.91325	1.79179	1.93457	1.64467	2.16319	1.81057	1.79435	3.0876
7	111471661	111779978	-	Galnt18	protein_coding	Galnt18	ensembl_havana	6.58722	4.8476	8.2805	5.49921	6.63941	4.9224	4.7589	6.76277	6.77366	4.73217
8	124231391	124345725	+	Galnt2	protein_coding	Galnt2	ensembl_havana	11.4813	6.28658	11.1431	7.64044	7.31022	8.66546	7.42127	5.96351	9.39364	6.45306
2	66082766	66124995	-	Galnt3	protein_coding	Galnt3	ensembl_havana	2.61557	1.1252	2.66058	1.35076	1.99427	1.45052	1.63594	2.50281	2.21902	1.43245
10	99108159	99113248	+	Galnt4	protein_coding	Galnt4	ensembl_havana	25.6012	21.5565	25.9173	22.4513	24.2287	25.1826	20.5495	24.6545	23.0706	25.1776
2	57997884	58045861	+	Galnt5	protein_coding	Galnt5	ensembl_havana	3.5289	4.99124	3.75167	4.60335	3.82128	5.09371	3.51512	4.36654	4.69276	3.46956
15	100691813	100729377	-	Galnt6	protein_coding	Galnt6	ensembl_havana	0.595154	0.55068	1.10614	0.606518	0.51357	0.685339	0.716624	0.386157	0.605262	0.49877
8	57523828	57653033	-	Galnt7	protein_coding	Galnt7	ensembl_havana	13.4788	9.34797	14.0049	14.4025	12.6338	11.4551	15.1958	14.0047	12.5174	13.7824
5	110544355	110621381	+	Galnt9	protein_coding	Galnt9	ensembl_havana	0.0969692	0.0240382	0.194404	0.275744	0.191159	0.0457826	0.081216	0.0134123	0.0213337	0.28657
8	57774052	58912641	-	Galntl6	protein_coding	Galntl6	ensembl_havana	0.276869	0.311297	0.164511	0.358438	0.644923	0.0229413	0.351603	0.0799739	0.0531843	0.66853
11	116280939	116283939	+	Galr2	protein_coding	Galr2	ensembl_havana	2.35264	2.08273	1.10614	1.54371	1.30169	2.821	2.92028	2.95544	2.69679	1.84624
15	79041885	79043559	+	Galr3	protein_coding	Galr3	ensembl_havana	0.0956202	0.293259	0.0215634	0.0506208	0.0798597	0.0160582	0.117232	0.0575266	0.0857788	0.15709
4	41755228	41758696	+	Galt	protein_coding	Galt	ensembl_havana	5.63202	6.1108	6.78908	5.71191	5.88139	6.39566	5.55815	6.30859	6.17374	6.40531
10	80258151	80261013	-	Gamt	protein_coding	Gamt	ensembl_havana	1.95132	2.19045	2.06272	1.95717	1.36139	2.02156	1.24388	1.39789	1.7625	1.85685
8	117158135	117215998	+	Gan	protein_coding	Gan	ensembl_havana	18.9172	19.7491	21.254	20.5355	20.1807	19.872	20.4413	22.1651	19.2273	19.8621
19	8898071	8916673	+	Ganab	protein_coding	Ganab	ensembl_havana	72.8762	77.2013	77.498	73.9674	71.0869	78.0275	80.1854	77.6756	75.9686	73.4972
2	120403896	120461701	+	Ganc	protein_coding	Ganc	ensembl_havana	19.989	22.8971	18.2041	18.2124	21.4941	22.1607	19.5043	19.9781	16.0741	18.2387
16	42248442	42340652	-	Gap43	protein_coding	Gap43	ensembl_havana	1.16253	1.05338	0.762371	0.771904	0.871805	0.788125	0.60847	1.09171	1.39091	1.57038
6	125161715	125166468	-	Gapdh	protein_coding	Gapdh	ensembl_havana	75.4555	79.1148	61.0081	72.1692	63.5146	73.7698	52.7533	64.8553	70.7543	64.6582
13	110352616	110357200	-	Gapt	protein_coding	Gapt	ensembl_havana	0.0831308	0.0001	0.059886	0.0001	0.0598058	0.102886	0.0947353	0.0533492	0.0531843	0.02132
2	34674594	34755233	-	Gapvd1	protein_coding	Gapvd1	ensembl_havana	59.7408	53.2026	60.0699	58.7123	57.1983	58.988	59.1067	56.9235	57.3846	58.5247
3	129824912	129831397	-	Gar1	protein_coding	Gar1	ensembl_havana	1.20405	1.53215	1.58443	1.2405	1.43304	1.48479	1.21684	1.46445	1.46523	1.24147
18	21127201	21300139	-	Garem1	protein_coding	Garem1	ensembl_havana	7.34834	6.10435	6.45698	7.00146	6.56771	4.94526	6.47587	6.3501	5.02189	5.8356
2	32986224	33131655	-	Garnl3	protein_coding	Garnl3	ensembl_havana	5.54932	6.64296	5.85913	6.03671	6.12591	4.43131	6.24603	5.15196	4.91571	5.80376
6	55038007	55079501	+	Gars	protein_coding	Gars	ensembl_havana	16.5371	14.3511	14.9316	15.5327	14.234	15.5665	14.2765	15.5356	15.8936	16.4775
16	91621186	91646953	-	Gart	protein_coding	Gart	ensembl_havana	21.7543	18.5403	20.5814	20.9215	17.3864	19.5637	18.8325	18.5707	19.8325	19.2467
13	60174405	60177366	-	Gas1	protein_coding	Gas1	ensembl_havana	48.7115	38.6364	51.5805	42.4769	32.492	49.3145	40.6933	38.9253	37.5732	33.9096
7	51862015	51994976	+	Gas2	protein_coding	Gas2	ensembl_havana	4.08245	4.0696	3.37801	2.92193	4.27504	4.28284	3.6368	3.15512	3.57799	4.55178
11	5054132	5065328	-	Gas2l1	protein_coding	Gas2l1	ensembl_havana	5.89528	5.60166	6.05344	5.04439	4.1795	5.57338	4.69131	5.57796	6.13665	4.76399
11	83421902	83429456	-	Gas2l2	protein_coding	Gas2l2	ensembl_havana	0.0692923	0.0599456	0.0001	0.0138822	0.0836881	0.034362	0.0001	0.0134123	0.0319506	0.0001
10	89408823	89443968	-	Gas2l3	protein_coding	Gas2l3	ensembl_havana	8.60767	8.46228	8.16093	7.23579	10.365	8.63412	10.2883	11.1159	8.17509	7.43769
1	161034422	161038540	+	Gas5	lncRNA	Gas5	havana	41.3218	35.1415	39.8026	41.3193	37.6506	36.5348	41.7478	42.1204	41.6501	38.0262
8	13465374	13494491	-	Gas6	protein_coding	Gas6	ensembl_havana	178.018	143.905	190.882	164.987	135.747	165.794	185.58	176.987	149.995	134.821
11	67455437	67688991	+	Gas7	protein_coding	Gas7	ensembl_havana	28.5075	28.5105	32.0752	26.3516	35.31	28.2205	31.7705	28.3688	24.7267	28.7745
8	123518834	123536651	+	Gas8	protein_coding	Gas8	ensembl_havana	8.44156	7.70822	7.14452	7.16686	8.00068	7.06947	8.08466	7.77449	7.66548	8.30772
9	121950988	121980210	+	Gask1a	protein_coding	Gask1a	ensembl_havana	12.2748	11.5383	13.7958	13.2448	12.4905	13.1909	11.9511	9.82458	12.0821	11.4482
3	79884533	79946281	+	Gask1b	protein_coding	Gask1b	ensembl_havana	40.7548	42.6574	36.6492	34.2489	35.5243	46.9624	40.0171	44.5297	46.7239	45.7933
X	7959260	7978072	-	Gata1	protein_coding	Gata1	ensembl_havana	0.0416154	0.0001	0.0001	0.0001	0.0120412	0.0229413	0.0001	0.0932862	0.0001	0.0001
6	88193891	88207033	+	Gata2	protein_coding	Gata2	ensembl_havana	3.90254	4.35686	2.78015	3.04597	2.97345	4.26	3.40697	3.44799	3.716	3.37408
2	9857078	9890035	-	Gata3	protein_coding	Gata3	ensembl_havana	0.0001	0.0001	0.0001	0.0414466	0.0598058	0.0001	0.0271387	0.0932862	0.0744181	0.03193
18	11052064	11085636	+	Gata6	protein_coding	Gata6	ensembl_havana	0.235354	0.155699	0.373762	0.24818	0.346394	0.445506	0.432718	0.532592	0.446008	0.14864
5	3632932	3657186	-	Gatad1	protein_coding	Gatad1	ensembl_havana	19.8029	19.7492	19.9687	17.9583	18.7954	20.5345	19.4814	20.1416	19.62	18.0477
8	69907076	69996385	-	Gatad2a	protein_coding	Gatad2a	ensembl_havana	28.632	29.3247	30.0729	27.7162	24.4912	27.6154	25.8896	27.2104	23.9198	23.9258
3	90293178	90363408	+	Gatad2b	protein_coding	Gatad2b	ensembl_havana	38.5955	34.4353	34.8553	36.7158	38.7014	37.5625	42.0857	40.363	33.8149	34.7903
3	85574119	85655623	+	Gatb	protein_coding	Gatb	ensembl_havana	4.23467	4.5364	4.75309	3.50078	4.29891	3.92881	4.25869	3.32818	4.14068	4.41386
5	115333239	115341179	-	Gatc	protein_coding	Gatc	ensembl_havana	3.03072	2.88466	2.97445	3.40431	2.57939	3.86028	3.25826	2.94212	2.98344	2.48284
7	141407794	141414137	-	Gatd1	protein_coding	Gatd1	ensembl_havana	7.56975	6.52328	7.89185	6.32612	6.92598	5.4706	8.36855	7.20205	6.73121	7.6499
10	78162066	78169783	-	Gatd3a	protein_coding	Gatd3a	ensembl_havana	20.8686	18.8755	19.9386	18.7026	16.4432	18.6729	21.1714	18.6905	22.8797	19.2149
2	122594467	122611304	-	Gatm	protein_coding	Gatm	ensembl_havana	4.01325	4.44064	4.11039	3.74886	3.86904	2.93521	2.731	3.23499	4.02389	3.43774
3	89202928	89208967	+	Gba	protein_coding	Gba	ensembl_havana	19.8169	19.2225	18.5785	16.7731	14.9863	18.1246	15.7502	17.2795	17.0614	16.8062
4	43566928	43578874	-	Gba2	protein_coding	Gba2	ensembl_havana	6.18589	6.61904	7.14453	6.78096	7.47528	7.46921	6.04324	5.99064	5.90308	6.1645
16	70313949	70569717	+	Gbe1	protein_coding	Gbe1	ensembl_havana	17.7548	16.9483	16.3367	16.1391	18.6044	15.932	16.3044	16.9866	17.3375	16.5092
19	46152509	46286511	+	Gbf1	protein_coding	Gbf1	ensembl_havana	50.3583	48.6783	47.4404	47.0524	45.6866	53.4714	48.1964	48.3634	45.6524	47.4372
2	28496891	28505416	+	Gbgt1	protein_coding	Gbgt1	ensembl_havana	3.12759	3.15995	2.89972	2.82546	3.34363	3.12936	3.29881	2.92881	3.02591	2.42979
5	105215699	105239534	-	Gbp10	protein_coding	Gbp10	ensembl_havana	0.470037	0.825681	0.632302	0.277703	0.335674	0.208906	0.525672	0.415397	0.192773	0.916875
5	105323042	105346473	-	Gbp11	polymorphic_pseudogene	Gbp11	ensembl_havana	0.0996162	0.0495053	0.0001	0.0300255	0.220853	0.0239508	0.132292	0.233262	0.086488	0.0336173
3	142620602	142638009	+	Gbp2	protein_coding	Gbp2	ensembl_havana	12.9114	15.7036	12.0619	11.5772	14.7474	10.6784	15.2635	14.9498	11.2646	10.5358
3	142594847	142619180	+	Gbp2b	protein_coding	Gbp2b	ensembl_havana	0.0692923	0.0240382	0.0001	0.0138822	0.0001	0.0115207	0.0136193	0.0666615	0.0001	0.02132
3	142560026	142573210	+	Gbp3	protein_coding	Gbp3	ensembl_havana	11.14	19.1508	12.3309	10.9846	16.0254	13.7507	15.5338	16.5207	16.6109	14.0748
5	105115767	105139587	-	Gbp4	protein_coding	Gbp4	ensembl_havana	4.06691	7.20284	2.85217	3.9147	7.40102	3.92861	7.37104	9.4982	3.6523	2.32563
3	142493978	142522345	+	Gbp5	protein_coding	Gbp5	ensembl_havana	2.82315	4.81169	3.07908	2.28795	5.11091	3.5405	4.69131	6.84263	2.85604	2.17515
5	105270702	105293699	-	Gbp6	protein_coding	Gbp6	ensembl_havana	15.4782	18.857	16.8358	16.7246	19.9584	16.577	19.8896	21.2929	14.7745	15.0558
3	142530342	142550150	+	Gbp7	protein_coding	Gbp7	ensembl_havana	19.4986	25.9247	23.6466	20.1909	25.4834	20.8764	24.6707	26.5641	21.5429	18.5969
5	105014150	105139541	-	Gbp8	protein_coding	Gbp8	ensembl_havana	0.868319	0.945166	0.539537	0.897136	0.586918	0.947787	0.882485	1.17447	0.584028	0.399456
5	105077630	105139540	-	Gbp9	protein_coding	Gbp9	ensembl_havana	9.11966	12.9267	9.43407	8.17651	12.5384	9.57062	12.6271	14.377	8.17509	8.65073
5	24502757	24527203	-	Gbx1	protein_coding	Gbx1	ensembl_havana	0.0001	0.0719147	0.104725	0.0138822	0.0478646	0.034362	0.0271387	0.0001	0.0744181	0.1062
1	89927956	89931180	-	Gbx2	protein_coding	Gbx2	ensembl_havana	0.0001	0.0001	0.089779	0.0001	0.0001	0.0229413	0.0001	0.0001	0.0531843	0.0637599
2	62664285	62694110	+	Gca	protein_coding	Gca	ensembl_havana	4.19315	3.68659	3.57231	4.30015	4.50192	3.96307	4.02886	4.56622	3.22763	4.50935
15	79030874	79042532	+	Gcat	protein_coding	Gcat	ensembl_havana	4.06995	4.59034	4.44764	3.5743	3.28775	3.5588	3.04649	3.49706	3.73649	3.72637
6	28416091	28428391	-	Gcc1	protein_coding	Gcc1	ensembl_havana	13.0498	16.685	13.4071	14.2096	13.7563	17.0626	15.5338	15.0164	15.713	13.5491
10	58255497	58305600	+	Gcc2	protein_coding	Gcc2	ensembl_havana	41.0729	33.921	36.9478	39.0731	39.7161	41.3883	40.2741	42.0671	38.2522	36.7849
8	84886393	84893922	-	Gcdh	protein_coding	Gcdh	ensembl_havana	9.52092	12.2325	9.84985	11.1775	9.29032	10.0731	10.6128	10.823	11.3813	9.80373
6	81923669	81959916	+	Gcfc2	protein_coding	Gcfc2	ensembl_havana	6.50418	7.66034	6.95022	7.22198	7.48722	6.93244	7.12478	6.73613	7.54869	6.96025
2	62474530	62483651	-	Gcg	protein_coding	Gcg	ensembl_havana	0.0139385	0.0479765	0.0001	0.0001	0.0239823	0.0001	0.0136193	0.0001	0.0001	0.02132
11	120530699	120538987	+	Gcgr	protein_coding	Gcgr	ensembl_havana	0.0831308	0.0001	0.0001	0.0827933	0.0001	0.034362	0.0136193	0.0001	0.0213337	0.0849799
14	47153895	47189414	-	Gch1	protein_coding	Gch1	ensembl_havana	3.84719	3.94991	3.01929	3.12866	3.0451	3.99733	3.31234	2.96874	3.28071	3.17249
2	119167773	119172391	+	Gchfr	protein_coding	Gchfr	ensembl_havana	0.442931	0.419019	0.194404	0.289526	0.191159	0.388402	0.216409	0.372845	0.159353	0.27596
11	5900820	5950082	-	Gck	protein_coding	Gck	ensembl_havana	0.18	0.155699	0.029993	0.24818	0.215041	0.137148	0.081216	0.0533492	0.0850349	0.30779
5	31297443	31327315	+	Gckr	protein_coding	Gckr	ensembl_havana	8.81521	9.47964	9.90962	11.8666	14.2579	5.07087	9.72049	7.29523	7.90967	8.2865
9	77754535	77794486	+	Gclc	protein_coding	Gclc	ensembl_havana	31.4411	31.2994	27.7407	30.6793	24.1929	25.628	30.5403	29.3538	25.2577	24.1378
3	122245557	122270733	+	Gclm	protein_coding	Gclm	ensembl_havana	23.5545	21.46	24.9301	27.1006	22.4771	24.4664	27.1657	27.4772	23.9416	18.6484
5	115565254	115622655	+	Gcn1	protein_coding	Gcn1	ensembl_havana	50.9579	47.1449	51.1703	49.0875	47.9013	51.0869	48.023	43.4881	47.9731	47.3473
19	17326141	17372845	-	Gcnt1	protein_coding	Gcnt1	ensembl_havana	3.87487	4.35686	3.76662	2.97706	4.59745	4.59119	3.08251	4.1136	3.72661	3.2998
13	40859754	40960893	+	Gcnt2	protein_coding	Gcnt2	ensembl_havana	17.907	18.6838	18.1302	18.0549	15.3564	17.6108	16.2503	16.2811	16.6474	14.6737
9	70031496	70038089	-	Gcnt3	protein_coding	Gcnt3	ensembl_havana	0.0001	0.0001	0.0001	0.0827933	0.0001	0.034362	0.081216	0.0001	0.0850349	0.03193
13	96924689	96950907	+	Gcnt4	protein_coding	Gcnt4	ensembl_havana	0.221515	0.40705	0.403655	0.344655	0.919569	0.148569	0.419199	0.306283	0.658346	0.668529
16	45610380	45622868	+	Gcsam	protein_coding	Gcsam	ensembl_havana	0.152323	0.119791	0.149565	0.12414	0.501629	0.274196	0.121774	0.479343	0.265522	0.01071
8	116981810	116993538	-	Gcsh	protein_coding	Gcsh	ensembl_havana	9.00836	9.49101	10.6412	9.64765	9.00373	8.80542	10.6263	9.63821	9.41657	8.13746
19	21391307	21473446	-	Gda	protein_coding	Gda	ensembl_havana	17.6856	5.24258	18.0704	11.4118	12.1323	7.69763	11.505	18.1713	15.1822	9.8674
1	17145362	17164272	+	Gdap1	protein_coding	Gdap1	ensembl_havana	1.71607	0.861877	0.911836	1.06133	1.28975	0.331299	1.05461	0.359532	1.49708	4.43507
2	163438476	163455325	+	Gdap1l1	protein_coding	Gdap1l1	ensembl_havana	0.276869	0.215544	0.269137	0.289526	0.489687	0.18283	0.378641	0.213097	0.212437	0.901949
3	100162381	100206982	+	Gdap2	protein_coding	Gdap2	ensembl_havana	8.0679	8.86925	8.72884	8.94479	8.14394	7.77756	8.16575	8.86611	8.93952	9.47482
7	118688545	118705779	-	Gde1	protein_coding	Gde1	ensembl_havana	22.0585	21.3411	23.1223	22.8098	20.2402	21.745	21.4282	21.8321	22.6882	22.1857
14	33923587	33937984	+	Gdf10	protein_coding	Gdf10	ensembl_havana	14.5997	12.1607	12.316	12.7073	8.10815	15.1667	11.1671	11.0893	9.32171	10.3873
10	128882295	128891719	-	Gdf11	protein_coding	Gdf11	ensembl_havana	34.1119	40.3001	36.1108	31.837	30.6769	41.3657	32.5141	35.2378	29.9078	29.8142
8	70629393	70632457	-	Gdf15	protein_coding	Gdf15	ensembl_havana	0.124646	0.299328	0.313976	0.317091	0.0956293	0.0800446	0.108255	0.213097	0.127502	0.0637599
14	33941039	33947199	+	Gdf2	protein_coding	Gdf2	ensembl_havana	0.0001	0.0001	0.0001	0.0138822	0.0001	0.0001	0.0136193	0.0001	0.0744181	0.03193
6	122605403	122610088	-	Gdf3	protein_coding	Gdf3	ensembl_havana	0.0969692	0.119791	0.029993	0.0001	0.0478646	0.0457826	0.0947353	0.0134123	0.0107169	0.05315
2	155941023	155945368	-	Gdf5	protein_coding	Gdf5	ensembl_havana	0.332223	0.107822	0.224297	0.330873	0.167276	0.559712	0.0947353	0.0799739	0.350457	0.22291
4	9844372	9862346	+	Gdf6	protein_coding	Gdf6	ensembl_havana	0.0001	0.0479765	0.0001	0.0690111	0.394158	0.0001	0.0136193	0.0533492	0.233671	0.23352
12	8297918	8301955	-	Gdf7	protein_coding	Gdf7	ensembl_havana	0.0969692	0.13176	0.0449395	0.0552289	0.0001	0.114307	0.135293	0.133223	0.0850349	0.11681
11	53431023	53437905	+	Gdf9	protein_coding	Gdf9	ensembl_havana	0.442931	0.359174	0.25419	0.165487	0.191159	0.194251	0.189371	0.386157	0.138119	0.19108
X	74304998	74311863	+	Gdi1	protein_coding	Gdi1	ensembl_havana	37.4607	36.4702	36.8584	35.2964	34.2355	33.1543	33.6495	35.7702	33.7192	36.8488
13	3538063	3567872	+	Gdi2	protein_coding	Gdi2	ensembl_havana	103.67	107.705	103.43	99.5721	95.9852	105.957	108.119	110.493	102.327	98.9144
15	7810846	7837576	+	Gdnf	protein_coding	Gdnf	ensembl_havana	2.57405	1.7835	2.75026	2.7152	2.31669	2.8781	3.86663	3.11518	1.87929	1.79319
11	87033867	87074063	-	Gdpd1	protein_coding	Gdpd1	ensembl_havana	3.778	3.39933	3.1837	3.69373	3.14063	3.50624	3.27178	3.3548	3.47182	4.27593
X	100729873	100738896	+	Gdpd2	protein_coding	Gdpd2	ensembl_havana	1.85445	2.65724	2.61574	2.82545	1.69574	1.91877	2.17671	2.90219	2.02792	1.81441
7	126766334	126775650	+	Gdpd3	protein_coding	Gdpd3	ensembl_havana	1.49465	1.30473	1.77873	0.895944	1.30169	1.29063	1.09517	1.31802	1.31659	0.795849
7	99381414	99461878	+	Gdpd5	protein_coding	Gdpd5	ensembl_havana	24.522	24.3333	25.6633	22.0241	19.3329	23.9264	22.7532	21.2333	17.6666	19.0132
7	80232865	80242062	+	Gdpgp1	protein_coding	Gdpgp1	ensembl_havana	2.74011	3.38736	1.65916	2.89436	2.4958	2.3756	3.13658	3.26162	2.56938	2.61016
4	11704457	11714753	+	Gem	protein_coding	Gem	ensembl_havana	6.18589	6.03252	7.11465	6.32614	5.52886	3.19788	5.70527	3.67429	5.45715	4.95498
12	59013393	59028471	+	Gemin2	protein_coding	Gemin2	ensembl_havana	2.3388	1.63987	2.19723	1.32319	1.92263	1.79314	1.93336	1.6242	1.7625	2.03722
